id_user;email;jhi_password;balance;last_name;first_name
1;Wilber.Denesik@yahoo.com;Strategist bypass Mobility;26661;Streich;Agustin
2;Guadalupe.Skiles@yahoo.com;Loan Oregon (the;35605;Luettgen;Leola
3;Kelley.Predovic@hotmail.com;Knolls;26550;Bednar;Ruthe
4;Granville_McCullough@hotmail.com;Unbranded;8174;Brakus;Clementine
5;Breanne25@gmail.com;International invoice Metal;40772;Purdy;Orrin
6;Megane.Bosco39@yahoo.com;Coordinator;61900;Moen;Jordane
7;Kayli6@yahoo.com;drive;58421;McKenzie;Luciano
8;Modesta_Hermiston0@gmail.com;card envisioneer;16018;Feest;Leora
9;Hadley_Abernathy98@hotmail.com;Italy;98609;Anderson;Roger
10;Otto4@yahoo.com;collaboration monitor Forint;2640;Wehner;Martin
